sensor_id,parameter,value,unit,date_utc,date_local,location_id,coordinates_latitude,coordinates_longitude
1575,pm25,11.6,µg/m³,,,,,
1575,pm25,8.6,µg/m³,,,,,
1575,pm25,5.6,µg/m³,,,,,
1575,pm25,7.5,µg/m³,,,,,
1575,pm25,7.4,µg/m³,,,,,
1575,pm25,10.2,µg/m³,,,,,
1575,pm25,45.0,µg/m³,,,,,
1575,pm25,6.7,µg/m³,,,,,
1575,pm25,6.9,µg/m³,,,,,
1575,pm25,4.1,µg/m³,,,,,
1575,pm25,3.6,µg/m³,,,,,
1575,pm25,3.2,µg/m³,,,,,
1575,pm25,3.7,µg/m³,,,,,
1575,pm25,3.6,µg/m³,,,,,
1575,pm25,3.2,µg/m³,,,,,
1575,pm25,2.7,µg/m³,,,,,
1575,pm25,2.6,µg/m³,,,,,
1575,pm25,2.6,µg/m³,,,,,
1575,pm25,2.4,µg/m³,,,,,
1575,pm25,2.3,µg/m³,,,,,
1575,pm25,2.3,µg/m³,,,,,
1575,pm25,2.6,µg/m³,,,,,
1575,pm25,2.7,µg/m³,,,,,
1575,pm25,3.3,µg/m³,,,,,
1575,pm25,6.2,µg/m³,,,,,
1575,pm25,8.4,µg/m³,,,,,
1575,pm25,6.6,µg/m³,,,,,
1575,pm25,7.3,µg/m³,,,,,
1575,pm25,4.4,µg/m³,,,,,
1575,pm25,4.0,µg/m³,,,,,
1575,pm25,4.4,µg/m³,,,,,
1575,pm25,4.4,µg/m³,,,,,
1575,pm25,4.5,µg/m³,,,,,
1575,pm25,4.7,µg/m³,,,,,
1575,pm25,5.3,µg/m³,,,,,
1575,pm25,5.5,µg/m³,,,,,
1575,pm25,5.4,µg/m³,,,,,
1575,pm25,6.1,µg/m³,,,,,
1575,pm25,5.0,µg/m³,,,,,
1575,pm25,4.8,µg/m³,,,,,
1575,pm25,5.0,µg/m³,,,,,
1575,pm25,5.0,µg/m³,,,,,
1575,pm25,5.0,µg/m³,,,,,
1575,pm25,4.7,µg/m³,,,,,
1575,pm25,4.3,µg/m³,,,,,
1575,pm25,4.1,µg/m³,,,,,
