id,name,locality,timezone,country_code,country_name,owner_id,owner_name,provider_id,provider_name,isMobile,isMonitor,instruments
1575,Los Angeles - N. Mai,,America/Los_Angeles,US,United States,4,Unknown Governmental Organization,119,AirNow,False,True,Government Monitor
7936,Los Angeles - N. Mai,Los Angeles-Long Beach-Santa Ana,America/Los_Angeles,US,United States,4,Unknown Governmental Organization,119,AirNow,False,True,Government Monitor
290486,8544 - Roybal Lc,,America/Los_Angeles,US,United States,6,Unknown Community Organization,166,Clarity,False,False,Clarity Sensor
290497,3548 - Elizabeth Learning Ctr,,America/Los_Angeles,US,United States,6,Unknown Community Organization,166,Clarity,False,False,Clarity Sensor
290516,6685 - Sheridan St El,,America/Los_Angeles,US,United States,6,Unknown Community Organization,166,Clarity,False,False,Clarity Sensor
290556,3959 - 42Nd St El,,America/Los_Angeles,US,United States,6,Unknown Community Organization,166,Clarity,False,False,Clarity Sensor
290613,Sheridan St ES (6685),,America/Los_Angeles,US,United States,6,Unknown Community Organization,166,Clarity,False,False,Clarity Sensor
290617,2383 - Esperanza El,,America/Los_Angeles,US,United States,6,Unknown Community Organization,166,Clarity,False,False,Clarity Sensor
290627,4096 - Gates El,,America/Los_Angeles,US,United States,6,Unknown Community Organization,166,Clarity,False,False,Clarity Sensor
290631,2603 - Buchanan El,,America/Los_Angeles,US,United States,6,Unknown Community Organization,166,Clarity,False,False,Clarity Sensor
290669,6425 - Rowan El,,America/Los_Angeles,US,United States,6,Unknown Community Organization,166,Clarity,False,False,Clarity Sensor
929705,Rowan ES (6425),,America/Los_Angeles,US,United States,6,Unknown Community Organization,166,Clarity,False,False,Clarity Sensor
947154,54th St ES (3781),,America/Los_Angeles,US,United States,6,Unknown Community Organization,166,Clarity,False,False,Clarity Sensor
947163,Trinity ES (7219),,America/Los_Angeles,US,United States,6,Unknown Community Organization,166,Clarity,False,False,Clarity Sensor
947164,Berendo MS (8057),,America/Los_Angeles,US,United States,6,Unknown Community Organization,166,Clarity,False,False,Clarity Sensor
947165,Atwater ES (2233),,America/Los_Angeles,US,United States,6,Unknown Community Organization,166,Clarity,False,False,Clarity Sensor
947167,AGVX0MF3,,America/Los_Angeles,US,United States,6,Unknown Community Organization,166,Clarity,False,False,Clarity Sensor
947168,Gates ES (4096),,America/Los_Angeles,US,United States,6,Unknown Community Organization,166,Clarity,False,False,Clarity Sensor
947180,Roybal LC (8544),,America/Los_Angeles,US,United States,6,Unknown Community Organization,166,Clarity,False,False,Clarity Sensor
947183,Budlong ES (2616),,America/Los_Angeles,US,United States,6,Unknown Community Organization,166,Clarity,False,False,Clarity Sensor
947193,7370 - Utah El,,America/Los_Angeles,US,United States,6,Unknown Community Organization,166,Clarity,False,False,Clarity Sensor
947197,Garfield HS/Monterey CHS (8677),,America/Los_Angeles,US,United States,6,Unknown Community Organization,166,Clarity,False,False,Clarity Sensor
947201,San Pedro ES (6507),,America/Los_Angeles,US,United States,6,Unknown Community Organization,166,Clarity,False,False,Clarity Sensor
947206,Logan ES (4904),,America/Los_Angeles,US,United States,6,Unknown Community Organization,166,Clarity,False,False,Clarity Sensor
947208,Delevan Drive ES (3397),,America/Los_Angeles,US,United States,6,Unknown Community Organization,166,Clarity,False,False,Clarity Sensor
947211,Normandie ES (5630),,America/Los_Angeles,US,United States,6,Unknown Community Organization,166,Clarity,False,False,Clarity Sensor
947219,Russell ES (6438),,America/Los_Angeles,US,United States,6,Unknown Community Organization,166,Clarity,False,False,Clarity Sensor
947221,Elizabeth Learning Ctr (3548),,America/Los_Angeles,US,United States,6,Unknown Community Organization,166,Clarity,False,False,Clarity Sensor
947228,Lenicia Weemes ES (7151),,America/Los_Angeles,US,United States,6,Unknown Community Organization,166,Clarity,False,False,Clarity Sensor
947229,Graham ES (4219),,America/Los_Angeles,US,United States,6,Unknown Community Organization,166,Clarity,False,False,Clarity Sensor
947233,2068 - Allesandro Elementary,,America/Los_Angeles,US,United States,6,Unknown Community Organization,166,Clarity,False,False,Clarity Sensor
947234,Virginia ES (7575),,America/Los_Angeles,US,United States,6,Unknown Community Organization,166,Clarity,False,False,Clarity Sensor
947235,Solano ES (6836),,America/Los_Angeles,US,United States,6,Unknown Community Organization,166,Clarity,False,False,Clarity Sensor
947238,Jefferson HS (8714),,America/Los_Angeles,US,United States,6,Unknown Community Organization,166,Clarity,False,False,Clarity Sensor
